RMSE,Penalty
189334,21
26.1286,17
17.1751,14
22.7617,20
10.5017,19
10.5415,16
9.99385,17
9.88519,15
10.7885,9
9.88092,16
23.3671,11
9.90657,13
10.7833,11
10.5802,8
10.2198,12
10.2352,14
9.92423,9
9.98871,14
10.2451,9
9.99167,15
9.92555,10
10.2878,11
10.2356,11
12.3599,12
10.5222,8
10.2761,9
10.806,16
9.91107,9
9.92445,11
10.2835,13
9.92619,12
10.2504,10
9.91107,12
10.491,11
9.91789,11
9.93181,7
9.90252,12
9.92472,9
9.93618,7
9.94589,8
9.9389,7
9.90322,12
9.92472,10
9.90523,9
9.92337,8
9.907,12
9.93478,8
9.8772,14
9.93574,11
9.94492,8
9.92239,10
10.2201,16
9.9294,11
9.91892,12
9.93773,10
9.94791,8
9.90414,12
9.93723,8
75.4084,7
42.9604,9
9.91869,9
10.7193,11
9.93093,8
9.93664,8
9.91354,8
9.90779,11
10.8017,9
9.91326,10
9.92085,9
68.0228,12
9.93189,9
9.93047,10
28.3972,9
9.92755,11
9.90027,12
104.962,10
9.92081,10
9.9024,14
9.90455,11
9.93377,9
9.9271,11
87.6577,7
9.91623,10
9.92446,13
9.95193,5
9.92967,6
9.91744,8
10.2891,10
9.92487,9
9.93529,11
9.92142,11
9.90551,9
9.93859,7
9.93324,9
9.932,9
9.936,10
14.0184,12
9.94018,11
44.8961,12
9.94364,7
