RMSE,Penalty
186844,21
24.4762,17
14.4771,14
14.6034,20
2.14951,20
4.4344,17
1.52248,17
3.91223,14
7.63879,9
1.19665e-08,10
23.6893,10
1.97151e-08,13
6.68763e-09,9
2.87961e-08,11
2.307,9
5.96795e-09,11
3.79458,9
1.33052e-08,13
1.30397e-08,13
9.14128e-09,12
2.77533e-09,8
3.09177e-09,9
4.23101e-09,9
3.75167e-09,9
1.48352e-09,10
1.02312e-09,7
1.09239e-08,11
2.16013e-09,8
11.001,9
3.11799e-09,9
1.50401e-08,11
7.11281e-09,6
1.17953e-09,9
1.12404e-08,9
2.62413e-09,11
1.29341e-08,7
1.0498e-09,7
6.67977e-09,10
7.76387e-10,7
9.06607e-09,8
8.18796e-10,7
6.56951e-09,10
1.71215e-08,10
8.61302e-09,9
2.99763e-09,6
3.91673e-08,13
8.48687e-10,7
2.53103e-09,11
7.22883e-10,8
2.15366e-08,10
1.16664e-09,12
1.08467e-08,16
1.33003e-08,11
9.15643e-09,13
1.29752e-09,10
7.7311e-09,9
8.00125e-10,7
2.3154e-08,10
77.536,6
17.7993,10
8.06024e-09,11
6.46321e-09,11
1.06135e-09,8
7.83446e-09,9
3.38263e-09,9
3.40323e-09,8
11.0955,6
2.49556e-09,13
7.21276e-10,5
70.7461,7
1.00948e-08,9
1.59652e-09,12
108.486,7
1.25251e-09,7
3.92192e-09,11
29.2972,7
7.77592e-09,10
6.33169e-09,11
1.00888e-08,12
7.76279e-10,11
8.98953e-09,12
57.0411,8
6.06459e-09,7
1.83579e-09,11
7.09957e-10,5
3.43367e-09,7
3.35826e-09,8
2.35491e-09,9
1.71863e-09,10
1.19861e-09,12
2.95519e-09,8
1.49748e-09,10
2.66591e-09,7
1.3038e-08,9
3.64526e-09,8
5.31189e-09,8
11.0655,11
1.25609e-08,9
43.2723,12
1.18531e-09,8
186844,21
24.4762,17
14.4771,14
14.6034,20
2.14951,20
4.4344,17
1.52248,17
3.91223,14
7.63879,9
1.19665e-08,10
23.6893,10
1.97151e-08,13
6.68763e-09,9
2.87961e-08,11
2.307,9
5.96795e-09,11
3.79458,9
1.33052e-08,13
1.30397e-08,13
9.14128e-09,12
2.77533e-09,8
3.09177e-09,9
4.23101e-09,9
3.75167e-09,9
1.48352e-09,10
1.02312e-09,7
1.09239e-08,11
2.16013e-09,8
11.001,9
3.11799e-09,9
1.50401e-08,11
7.11281e-09,6
1.17953e-09,9
1.12404e-08,9
2.62413e-09,11
1.29341e-08,7
1.0498e-09,7
6.67977e-09,10
7.76387e-10,7
9.06607e-09,8
8.18796e-10,7
6.56951e-09,10
1.71215e-08,10
8.61302e-09,9
